code,name,industry,category,latest_date,tdx_formula_b1_date,tdx_formula_b1_value,close,pct_chg,amplitude,j_value,wl,yl,wl_gt_yl,close_gt_yl,close_gt_65,yang_yin_ok,key_k_recent,plry_count_28,shrink_ok,liquidity_ok,mv_ok,no_high_open_big_yin,no_maxvol_yin,no_two_limit_down,avg_amount_28_yi,market_cap_yi,rise_from_60_low,retreat_from_60_high,turnover_up_wave,up_wave_gain,near_support,stop_loss,formula_satisfied,formula_missing,z_satisfied,z_missing,historical_like,risk_flags,action,score,priority
688410.SH,山外山,医疗器械,淘汰,2026-05-29,20260529,0,16.9,-0.0553,0.0654,60.95,16.941,16.461,True,True,False,False,True,1,False,True,False,True,True,True,1.211,0.54,0.2574,-0.085,0.7542,0.3743,靠近黄线,16.214,白线>黄线；收盘>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(60.9)；14/21日阳量强于阴量；当前缩量/地量；市值>50亿,N型/上涨后回调；左侧有异动或关键K；靠近黄线；建仓波涨幅未明显过高,右侧缩量；B1日波动温和；建仓波换手未明显过热,新瀚新材横盘压缩型：回调不深，高位箱体压缩,建仓波换手偏高(75%),淘汰/暂不做：公式入池不等于可交易,32,C
000531.SZ,穗恒运Ａ,电力,淘汰,2026-05-29,20260529,0,7.84,-0.0076,0.0835,91.97,7.273,7.154,True,True,True,True,True,1,False,True,False,True,True,True,2.352,0.71,0.2288,-0.0841,1.0753,0.2962,黄线上方但距离偏远,7.047,白线>黄线；收盘>黄线；14/21日阳量强于阴量；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(92.0)；当前缩量/地量；市值>50亿,N型/上涨后回调；左侧有异动或关键K；建仓波涨幅未明显过高,右侧缩量；黄线上方但距离偏远；B1日波动温和；建仓波换手未明显过热,新瀚新材横盘压缩型：回调不深，高位箱体压缩；反面像：犬牙交错/呼吸紊乱，和完美 B1 有距离,K线/呼吸偏乱；离黄线偏远；建仓波换手偏高(108%),淘汰/暂不做：公式入池不等于可交易,28,C
603815.SH,交建股份,基础建设,淘汰,2026-05-29,20260529,0,7.13,0.0363,0.064,78.6,7.003,6.953,True,True,True,True,True,1,False,True,False,False,False,True,2.156,0.44,0.2709,-0.0824,1.1474,0.385,靠近黄线,6.8,白线>黄线；收盘>黄线；14/21日阳量强于阴量；28日内有关键K/倍量柱；28日均额>0.005亿；24日无两连跌停,J<=13(78.6)；当前缩量/地量；市值>50亿；无高位开盘放量阴线；无28日天量阴线,N型/上涨后回调；左侧有异动或关键K；靠近黄线；建仓波涨幅未明显过高,右侧缩量；B1日波动温和；建仓波换手未明显过热,新瀚新材横盘压缩型：回调不深，高位箱体压缩,建仓波换手偏高(115%),淘汰/暂不做：公式入池不等于可交易,28,C
603195.SH,公牛集团,家居用品,淘汰,2026-05-29,20260529,0,41.58,-0.0135,0.0375,4.58,42.981,42.592,True,False,False,False,True,2,False,True,False,True,True,True,2.523,7.49,0.0234,-0.0821,0.0382,0.1149,靠近黄线,41.58,J<=13(4.6)；白线>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；当前缩量/地量；市值>50亿,左侧有异动或关键K；靠近黄线；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,N型/上涨后回调；右侧缩量,反面像：中银证券式大阴后 B1，容易是难做的一波流回落,近期放量阴线,淘汰/暂不做：公式入池不等于可交易,24,C
000810.SZ,创维数字,黑色家电,淘汰,2026-05-29,20260529,0,11.51,-0.027,0.0533,0.76,12.405,12.119,True,False,False,False,True,0,True,True,False,True,True,True,2.389,1.28,0.1385,-0.1293,0.5249,0.3076,靠近黄线,11.4,J<=13(0.8)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量；靠近黄线；建仓波涨幅未明显过高,N型/上涨后回调；B1日波动温和；建仓波换手未明显过热,暂未匹配到高置信历史模板,建仓波换手偏高(52%),淘汰/暂不做：公式入池不等于可交易,20,C
002752.SZ,昇兴股份,包装印刷,淘汰,2026-05-29,20260529,0,6.63,-0.0293,0.0381,-3.35,7.134,6.921,True,False,False,False,True,0,True,True,False,True,True,True,2.722,0.65,0.1693,-0.1445,0.904,0.3668,靠近黄线,6.61,J<=13(-3.4)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量；靠近黄线；建仓波涨幅未明显过高,N型/上涨后回调；B1日波动温和；建仓波换手未明显过热,暂未匹配到高置信历史模板,建仓波换手偏高(90%),淘汰/暂不做：公式入池不等于可交易,20,C
301238.SZ,瑞泰新材,电池,淘汰,2026-05-29,20260529,0,25.43,0.0287,0.1169,84.86,22.048,21.404,True,True,True,True,True,3,False,True,False,True,True,True,3.746,1.86,0.405,-0.0889,0.8521,0.542,黄线上方但距离偏远,21.083,白线>黄线；收盘>黄线；14/21日阳量强于阴量；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(84.9)；当前缩量/地量；市值>50亿,N型/上涨后回调；左侧有异动或关键K,右侧缩量；黄线上方但距离偏远；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,新瀚新材横盘压缩型：回调不深，高位箱体压缩；反面像：犬牙交错/呼吸紊乱，和完美 B1 有距离；反面像：中银证券式大阴后 B1，容易是难做的一波流回落,K线/呼吸偏乱；近期放量阴线；离黄线偏远；建仓波换手偏高(85%)；建仓波涨幅偏高(54%),淘汰/暂不做：公式入池不等于可交易,18,C
300577.SZ,开润股份,纺织制造,淘汰,2026-05-29,20260529,,17.03,0.0137,0.0315,9.49,18.98,19.296,False,False,False,False,True,1,True,True,False,True,True,True,0.567,0.24,0.0278,-0.2294,,,黄线下方,16.8,J<=13(9.5)；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,白线>黄线；收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,N型/上涨后回调；黄线下方,反面像：中银证券式大阴后 B1，容易是难做的一波流回落,近期放量阴线,淘汰/暂不做：公式入池不等于可交易,12,C
600708.SH,光明地产,房地产开发,淘汰,2026-05-29,20260529,0,3.29,0.0061,0.0398,7.54,3.536,3.574,False,False,False,False,True,2,True,True,False,True,True,True,1.267,0.73,0.0579,-0.2419,0.2377,0.3376,黄线下方,3.27,J<=13(7.5)；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,白线>黄线；收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,N型/上涨后回调；黄线下方,暂未匹配到高置信历史模板,暂无硬风险，但仍需次日确认,淘汰/暂不做：公式入池不等于可交易,12,C
600884.SH,杉杉股份,电池,淘汰,2026-05-29,20260529,0,14.65,-0.0393,0.0531,54.71,15.275,14.891,True,False,False,False,True,2,True,True,False,True,True,True,20.261,2.69,0.1517,-0.1893,1.7214,0.4206,靠近黄线,14.62,白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(54.7)；收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量；靠近黄线；建仓波涨幅未明显过高,N型/上涨后回调；B1日波动温和；建仓波换手未明显过热,暂未匹配到高置信历史模板,建仓波换手偏高(172%),淘汰/暂不做：公式入池不等于可交易,10,C
688692.SH,达梦数据,软件服务,淘汰,2026-05-29,20260529,0,257.51,-0.0171,0.0753,34.84,262.992,256.821,True,True,False,False,True,2,False,True,False,False,True,True,5.17,1.88,0.2659,-0.1501,0.5843,0.4895,靠近黄线,252.969,白线>黄线；收盘>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无28日天量阴线；24日无两连跌停,J<=13(34.8)；14/21日阳量强于阴量；当前缩量/地量；市值>50亿；无高位开盘放量阴线,N型/上涨后回调；左侧有异动或关键K；靠近黄线,右侧缩量；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,暂未匹配到高置信历史模板,建仓波换手偏高(58%)；建仓波涨幅偏高(49%),淘汰/暂不做：公式入池不等于可交易,10,C
002715.SZ,登云股份,汽车零部件,淘汰,2026-05-29,20260529,0,15.53,-0.0354,0.059,9.12,16.868,16.548,True,False,False,False,True,1,True,True,False,True,True,True,1.136,0.21,0.1377,-0.1818,1.0807,0.3905,黄线下方,15.33,J<=13(9.1)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量；建仓波涨幅未明显过高,N型/上涨后回调；黄线下方；B1日波动温和；建仓波换手未明显过热,暂未匹配到高置信历史模板,建仓波换手偏高(108%),淘汰/暂不做：公式入池不等于可交易,8,C
002998.SZ,优彩资源,化纤,淘汰,2026-05-29,20260529,0,8.24,-0.0294,0.0495,4.06,9.1,8.825,True,False,False,False,True,1,True,True,False,True,True,True,1.004,0.22,0.1524,-0.1984,1.2884,0.4378,黄线下方,8.18,J<=13(4.1)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量；建仓波涨幅未明显过高,N型/上涨后回调；黄线下方；B1日波动温和；建仓波换手未明显过热,暂未匹配到高置信历史模板,建仓波换手偏高(129%),淘汰/暂不做：公式入池不等于可交易,8,C
002386.SZ,天原股份,化学原料,淘汰,2026-05-29,20260529,0,5.68,-0.0105,0.0226,2.38,6.279,6.232,True,False,False,False,True,0,True,True,False,True,False,True,3.299,0.74,0.0597,-0.2366,1.2742,0.3881,黄线下方,5.64,J<=13(2.4)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿；无28日天量阴线,左侧有异动或关键K；右侧缩量；B1日波动温和；建仓波涨幅未明显过高,N型/上涨后回调；黄线下方；建仓波换手未明显过热,暂未匹配到高置信历史模板,建仓波换手偏高(127%),淘汰/暂不做：公式入池不等于可交易,6,C
300740.SZ,水羊股份,日用化工,淘汰,2026-05-29,20260529,0,24.3,-0.038,0.0483,3.98,25.686,24.37,True,False,False,True,True,2,True,True,False,False,True,True,3.458,0.88,0.2552,-0.1423,0.9546,0.4633,靠近黄线,24.23,J<=13(4.0)；白线>黄线；14/21日阳量强于阴量；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无28日天量阴线；24日无两连跌停,收盘>黄线；市值>50亿；无高位开盘放量阴线,左侧有异动或关键K；右侧缩量；靠近黄线,N型/上涨后回调；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,暂未匹配到高置信历史模板,建仓波换手偏高(95%)；建仓波涨幅偏高(46%),淘汰/暂不做：公式入池不等于可交易,6,C
603709.SH,中源家居,家居用品,淘汰,2026-05-29,20260529,0,16.15,-0.0188,0.045,3.48,18.131,18.001,True,False,False,False,True,1,True,True,False,False,False,True,0.789,0.2,0.048,-0.2001,0.8885,0.3102,黄线下方,16.01,J<=13(3.5)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿；无高位开盘放量阴线；无28日天量阴线,左侧有异动或关键K；右侧缩量；B1日波动温和；建仓波涨幅未明显过高,N型/上涨后回调；黄线下方；建仓波换手未明显过热,暂未匹配到高置信历史模板,建仓波换手偏高(89%),淘汰/暂不做：公式入池不等于可交易,6,C
600694.SH,DR大商股,一般零售,淘汰,2026-05-29,20260529,0,15.06,0.0259,0.0518,48.73,15.159,15.121,True,False,False,False,True,2,False,True,False,True,True,True,0.836,0.57,0.0985,-0.0658,0.306,0.1758,靠近黄线,14.56,白线>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(48.7)；收盘>黄线；14/21日阳量强于阴量；当前缩量/地量；市值>50亿,左侧有异动或关键K；靠近黄线；建仓波换手未明显过热；建仓波涨幅未明显过高,N型/上涨后回调；右侧缩量；B1日波动温和,暂未匹配到高置信历史模板,暂无硬风险，但仍需次日确认,淘汰/暂不做：公式入池不等于可交易,4,C
002415.SZ,海康威视,IT设备,淘汰,2026-05-29,20260529,,30.56,-0.0065,0.0341,13.0,32.543,31.986,True,False,False,False,True,1,False,True,False,False,True,True,23.171,27.65,0.0607,-0.1591,0.1668,0.2614,靠近黄线,30.15,白线>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无28日天量阴线；24日无两连跌停,J<=13(13.0)；收盘>黄线；14/21日阳量强于阴量；当前缩量/地量；市值>50亿；无高位开盘放量阴线,左侧有异动或关键K；靠近黄线；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,N型/上涨后回调；右侧缩量,暂未匹配到高置信历史模板,暂无硬风险，但仍需次日确认,淘汰/暂不做：公式入池不等于可交易,2,C
300457.SZ,赢合科技,电池,淘汰,2026-05-29,20260529,0,27.12,-0.041,0.0576,9.28,28.263,27.761,True,False,False,False,True,1,False,True,False,True,True,True,6.161,1.72,0.1615,-0.0927,1.2242,0.2801,靠近黄线,26.92,J<=13(9.3)；白线>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；当前缩量/地量；市值>50亿,左侧有异动或关键K；靠近黄线；建仓波涨幅未明显过高,N型/上涨后回调；右侧缩量；B1日波动温和；建仓波换手未明显过热,暂未匹配到高置信历史模板,建仓波换手偏高(122%),淘汰/暂不做：公式入池不等于可交易,2,C
300996.SZ,普联软件,软件服务,淘汰,2026-05-29,20260529,0,11.83,-0.0319,0.0908,-0.12,12.677,12.417,True,False,False,False,True,2,False,True,False,True,True,True,1.512,0.39,0.131,-0.1295,1.1917,0.2992,靠近黄线,11.72,J<=13(-0.1)；白线>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；当前缩量/地量；市值>50亿,左侧有异动或关键K；靠近黄线；建仓波涨幅未明显过高,N型/上涨后回调；右侧缩量；B1日波动温和；建仓波换手未明显过热,反面像：犬牙交错/呼吸紊乱，和完美 B1 有距离,K线/呼吸偏乱；建仓波换手偏高(119%),淘汰/暂不做：公式入池不等于可交易,2,C
000990.SZ,诚志股份,化学原料,淘汰,2026-05-29,20260529,0,9.58,-0.0254,0.0346,7.94,10.713,10.426,True,False,False,False,True,1,True,True,False,True,True,True,7.121,1.16,0.1205,-0.2861,2.6824,0.5696,黄线下方,9.49,J<=13(7.9)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量,N型/上涨后回调；黄线下方；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,暂未匹配到高置信历史模板,建仓波换手偏高(268%)；建仓波涨幅偏高(57%),淘汰/暂不做：公式入池不等于可交易,-2,C
300723.SZ,一品红,化学制药,淘汰,2026-05-29,20260529,0,43.91,0.0807,0.175,86.78,40.193,38.294,True,True,True,False,True,2,False,True,False,False,True,True,7.725,1.84,0.4981,-0.0408,2.0559,0.5619,黄线上方但距离偏远,37.72,白线>黄线；收盘>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无28日天量阴线；24日无两连跌停,J<=13(86.8)；14/21日阳量强于阴量；当前缩量/地量；市值>50亿；无高位开盘放量阴线,N型/上涨后回调；左侧有异动或关键K,右侧缩量；黄线上方但距离偏远；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,新瀚新材横盘压缩型：回调不深，高位箱体压缩；反面像：犬牙交错/呼吸紊乱，和完美 B1 有距离,K线/呼吸偏乱；离黄线偏远；建仓波换手偏高(206%)；建仓波涨幅偏高(56%),淘汰/暂不做：公式入池不等于可交易,-2,C
300767.SZ,震安科技,橡胶,淘汰,2026-05-29,20260529,0,19.33,-0.0571,0.0698,6.38,22.198,21.779,True,False,False,False,True,0,True,True,False,True,True,True,2.694,0.46,0.0745,-0.2771,1.2523,0.4864,黄线下方,19.17,J<=13(6.4)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量,N型/上涨后回调；黄线下方；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,暂未匹配到高置信历史模板,建仓波换手偏高(125%)；建仓波涨幅偏高(49%),淘汰/暂不做：公式入池不等于可交易,-2,C
000703.SZ,恒逸石化,化纤,淘汰,2026-05-29,20260529,,12.85,-0.0161,0.0352,4.48,14.515,13.925,True,False,False,False,True,0,True,True,False,False,False,True,8.987,4.89,0.2297,-0.2997,0.5117,0.756,黄线下方,12.74,J<=13(4.5)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿；无高位开盘放量阴线；无28日天量阴线,左侧有异动或关键K；右侧缩量；B1日波动温和,N型/上涨后回调；黄线下方；建仓波换手未明显过热；建仓波涨幅未明显过高,暂未匹配到高置信历史模板,建仓波换手偏高(51%)；建仓波涨幅偏高(76%),淘汰/暂不做：公式入池不等于可交易,-4,C
300609.SZ,汇纳科技,软件服务,淘汰,2026-05-29,20260529,0,35.49,-0.0269,0.0543,7.6,39.298,38.74,True,False,False,False,True,1,True,True,False,False,True,True,1.884,0.43,0.1139,-0.1932,1.0283,0.3807,黄线下方,34.58,J<=13(7.6)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿；无高位开盘放量阴线,左侧有异动或关键K；右侧缩量；建仓波涨幅未明显过高,N型/上涨后回调；黄线下方；B1日波动温和；建仓波换手未明显过热,暂未匹配到高置信历史模板,建仓波换手偏高(103%),淘汰/暂不做：公式入池不等于可交易,-4,C
